subj:01000000                                arts, culture and entertainment                                     Arts, culture, et spectacles       
                              subj:15041009  superbike                                                           superbike                          
                              subj:15041010  125 cm3                                                             125cm3                             
                              subj:15041011  250 cm3                                                             250cm3                             
                              subj:15041012  500 cm3                                                             500cm3                             
                              subj:15041013  side-cars                                                           side-cars                          
                              subj:15041014  motoGP                                                              MotoGP                             
               subj:15042000                 netball                                                             Netball                            
               subj:15043000                 nordic skiing                                                       Ski nordique                       
                              subj:15043001  cross-country                                                       Course de fond                     
                              subj:15043002  5 km classical time                                                 5 km Style classique               
                              subj:15043003  10 km classical style                                               10 km style classique              
                              subj:15043004  10 km pursuit free style                                            10 km poursuite libre              
                              subj:15043005  15 km classical style                                               15 km style classique              
                              subj:15043006  15 km pursuit free style                                            15 km poursuite libre              
                              subj:15043007  10 km + 15 km combined                                              10 km + 15 km combiné              
                              subj:15043008  30 km classical style                                               30 km style classique              
                              subj:15043009  30km free style                                                     30 km libre                        
                              subj:15043010  50 km free style                                                    50 km libre                        
                              subj:15043011  4x5 km relay                                                        4x5 km relais                      
                              subj:15043012  4x10 km relay                                                       4x10 km relais                     
                              subj:15043013  nordic combined                                                     Combiné nordique                   
                              subj:15043014  raid                                                                Raid                               
                              subj:15043015  5 km pursuit free style                                             5 km poursuite libre               
                              subj:15043016  1.5 km sprint free                                                  1.5 km style libre                 
                              subj:15043017  50 km classic style                                                 50 km style classique              
               subj:15044000                 orienteering                                                        Course d'orientation               
                              subj:15044001  ski orienteering                                                    Course d'orientation à skis        
               subj:15045000                 polo                                                                Polo                               
               subj:15046000                 power boating                                                       Motonautisme                       
                              subj:15046001  F1                                                                  F1                                 
                              subj:15046002  F2                                                                  F2                                 
               subj:15047000                 rowing                                                              Aviron                             
                              subj:15047001  single sculls                                                       Skiff                              
                              subj:15047002  double sculls                                                       Double sculls                      
                              subj:15047003  quadruple sculls                                                    Quatre en couple sans barreur      
                              subj:15047004  coxless pair                                                        Deux sans barreur                  
                              subj:15047005  coxless four                                                        Quatre sans barreur                
                              subj:15047006  eight                                                               Huit                               
                              subj:15047007  lightweight                                                         Poids léger                        
               subj:15048000                 rugby league                                                        Jeu à XIII                         
               subj:15049000                 rugby union                                                         Rugby à XV                         
                              subj:15049001  rugby 7                                                             Rugby à VII                        
               subj:15050000                 sailing                                                             Voile                              
                              subj:15050001  Tornado                                                             Tornado                            
                              subj:15050002  soling                                                              Soling                             
                              subj:15050003  49er                                                                49er                               
                              subj:15050004  Europe                                                              Europe                             
                              subj:15050005  Laser                                                               Laser                              
                              subj:15050006                                                                   470                                470
                              subj:15050007  Finn                                                                Finn                               
                              subj:15050008  Star                                                                Star                               
                              subj:15050009  flying dutchmann                                                    Flying dutchmann                   
                              subj:15050010                                                                   505                                505
                              subj:15050011  staging race                                                        Course à étape                     
                              subj:15050012  around the world                                                    Autour du monde                    
                              subj:15050013  monohull                                                            Monocoque                          
                              subj:15050014  multihulls                                                          Multicoques                        
                              subj:15050015  yngling                                                             Yngling                            
                              subj:15050016  mistral                                                             Mistral                            
               subj:15051000                 shooting                                                            Tir                                
                              subj:15051001  10 m air rifle                                                      Carabine à air comprimé 10 m       
                              subj:15051002  10 m air pistol                                                     Pistolet à air comprimé à 10 m     
                              subj:15051003  10 m running target                                                 10 m cible mouvante                
                              subj:15051004  25 m rapid fire pistol                                              Pistolet 25 m                      
                              subj:15051005  25 m sport pistol                                                   25 m pistolet sport                
                              subj:15051006  50 m free pistol                                                    Pistolet libre à 50 m              
                              subj:15051007  50 m free rifle prone                                               50 m carabine libre couché         
                              subj:15051008  50 m free rifle 3x40                                                50 m carabine libre 3x40           
                              subj:15051009  50 m sport rifle 3x20                                               50 m carabine sport 3x20           
                              subj:15051010  trap                                                                Trap                               
                              subj:15051011  double trap                                                         Double trap                        
                              subj:15051012  skeet                                                               Skeet                              
               subj:15052000                 ski jumping                                                         Saut à skis                        
                              subj:15052001  K90 jump                                                            K90                                
                              subj:15052002  K120 jump                                                           K120                               
                              subj:15052003  K180 (flying jump)                                                  K180                               
               subj:15053000                 snow boarding                                                       Surf des neiges                    
                              subj:15053001  giant slalom                                                        Slalom géant parallèle             
                              subj:15053002  half-pipe                                                           Half-pipe                          
               subj:15054000                 soccer                                                              Football                           
               subj:15055000                 softball                                                            Softball                           
               subj:15056000                 speed skating                                                       Patinage de vitesse                
                              subj:15056001  500 m                                                               500m                               
                              subj:15056002  1000 m                                                              1000m                              
                              subj:15056003  1500 m                                                              1500m                              
                              subj:15056004  3000 m                                                              3000m                              
                              subj:15056005  5000 m                                                              5000m                              
                              subj:15056006  10000 m                                                             10000m                             
                              subj:15056007  Short-track                                                         Short-track                        
                              subj:15056008  st 500 m                                                            st500m                             
                              subj:15056009  st 1000m                                                            st1000m                            
                              subj:15056010  st 1500m                                                            st1500m                            
                              subj:15056011  st 3000m                                                            st3000m                            
                              subj:15056012  st 3000m relay                                                      st 3000m relais                    
                              subj:15056013  st 5000m                                                            st5000m                            
                              subj:15056014  st 5000m relay                                                      st 5000m relais                    
               subj:15057000                 speedway                                                            Speedway                           
               subj:15058000                 sports organisations                                                Organisations sportives            
                              subj:15058001  IOC                                                                 CIO                                
                              subj:15058002  international federation                                            Fédération internationale          
                              subj:15058003  continental federation                                              Fédération continentale            
                              subj:15058004  national federation                                                 Fédération nationale               
                              subj:15058005  GAISF                                                               AGFIS                              
               subj:15059000                 squash                                                              Squash                             
               subj:15060000                 sumo wrestling                                                      Sumo                               
               subj:15061000                 surfing                                                             Surf                               
               subj:15062000                 swimming                                                            Natation                           
                              subj:15062001  50 m freestyle                                                      50 m libre                         
                              subj:15062002  100 m freestyle                                                     100 m libre                        
                              subj:15062003  200 m freestyle                                                     200 m libre                        
                              subj:15062004  400 m freestyle                                                     400 m libre                        
                              subj:15062005  800 m freestyle                                                     800 m libre                        
                              subj:15062006  1500 m freestyle                                                    1500 m libre                       
                              subj:15062007  relay 4x50 m freestyle                                              Relais 4x50 m libre                
                              subj:15062008  relay 4x100 m freestyle                                             Relais 4x100 m libre               
                              subj:15062009  relay 4x200 m freestyle                                             Relais 4x200 m libre               
                              subj:15062010  50 m backstroke                                                     50m dos                            
                              subj:15062011  100 m backstroke                                                    100m dos                           
                              subj:15062012  200 m backstroke                                                    200m dos                           
                              subj:15062013  50 m breaststroke                                                   50m brasse                         
                              subj:15062014  100 m breaststroke                                                  100m brasse                        
                              subj:15062015  200 m breaststroke                                                  200m brasse                        
                              subj:15062016  50 m butterfly                                                      50m papillon                       
                              subj:15062017  100 m butterfly                                                     100m papillon                      
                              subj:15062018  200 m butterfly                                                     200 m papillon                     
                              subj:15062019  100 m medley                                                        100 m 4 nages                      
                              subj:15062020  200 m medley                                                        200 m 4 nages                      
                              subj:15062021  400 m medley                                                        400 m 4 nages                      
                              subj:15062022  relay 4x50 m medlay                                                 relais 4x50m 4 nages               
                              subj:15062023  relay4x100 m medley                                                 Relais 4x100 m 4nages              
                              subj:15062024  short course                                                        petit bassin                       
                              subj:15062025  synchronised technical routine                                      Natation synchronisée programme tec
                              subj:15062026  synchronised free routine                                           Natation synchronisée programme lib
               subj:15063000                 table tennis                                                        Tennis de table                    
               subj:15064000                 Taekwon-Do                                                          Taekwondo                          
                              subj:15064001  under 49 kg                                                         Moins de 49 kg                     
                              subj:15064002  under 58 kg                                                         Moins de 58 kg                     
                              subj:15064003  49-57 kg                                                            49-57 kg                           
                              subj:15064004  58-68 kg                                                            58-68kg                            
                              subj:15064005  57-67 kg                                                            57-67kg                            
                              subj:15064006  68-80 kg                                                            68-80kg                            
                              subj:15064007  over 67 kg                                                          Plus de 67 kg                      
                              subj:15064008  over 80 kg                                                          Plus de 80 kg                      
               subj:15065000                 tennis                                                              Tennis                             
                              subj:15065001  soft tennis                                                         Soft tennis                        
               subj:15066000                 triathlon                                                           Triathlon                          
                              subj:15066001  triathlon swimming                                                  Natation                           
                              subj:15066002  triathlon cycling                                                   Cyclisme                           
                              subj:15066003  triathlon run                                                       Course                             
               subj:15067000                 volleyball                                                          Volley-ball                        
                              subj:15067001  beach volleyball                                                    Beach volley                       
               subj:15068000                 water polo                                                          Water polo                         
               subj:15069000                 water skiing                                                        Ski nautique                       
                              subj:15069001  slalom                                                              Slalom                             
                              subj:15069002  trick                                                               Figures                            
                              subj:15069003  jump                                                                Saut                               
                              subj:15069004  combined                                                            combiné                            
               subj:15070000                 weightlifting                                                       Haltérophilie                      
                              subj:15070001  snatch                                                              Arrachée                           
                              subj:15070002  clean and jerk                                                      épaulé-jeté                        
                              subj:15070003  48 kg                                                               48kg                               
                              subj:15070004  53 kg                                                               53kg                               
                              subj:15070005  63 kg                                                               63kg                               
                              subj:15070006  75 kg                                                               75kg                               
                              subj:15070007  over 75 kg                                                          Plus de 75kg                       
                              subj:15070008  56 kg                                                               56kg                               
                              subj:15070009  62 kg                                                               62kg                               
                              subj:15070010  69 kg                                                               69kg                               
                              subj:15070011  77 kg                                                               77kg                               
                              subj:15070012  85 kg                                                               85kg                               
                              subj:15070013  94 kg                                                               94kg                               
                              subj:15070014  105 kg                                                              105kg                              
                              subj:15070015  over 105 kg                                                         > 105 kg                           
                              subj:15070016  powerlifting                                                        Force athlétique                   
               subj:15071000                 windsurfing                                                         Planche à voile                    
                              subj:15071001  ocean                                                               Courses en mer                     
                              subj:15071002  lake                                                                Régates sur lac                    
                              subj:15071003  river                                                               Régates sur fleuve                 
                              subj:15071004  land                                                                Courses sur terre                  
               subj:15072000                 wrestling                                                           Lutte                              
                              subj:15072001  freestyle                                                           Lutte libre                        
                              subj:15072002  greco-roman                                                         Lutte gréco-romaine                
                              subj:15072003  over 130 kg                                                         Plus de 130 kg                     
                              subj:15072004  130 kg                                                              130kg                              
                              subj:15072005  97 kg                                                               97kg                               
                              subj:15072006  85 kg                                                               85kg                               
                              subj:15072007  76 kg                                                               76kg                               
                              subj:15072008  69 kg                                                               69kg                               
                              subj:15072009  63 kg                                                               63kg                               
                              subj:15072010  58 kg                                                               58kg                               
                              subj:15072011  54 kg                                                               54kg                               
                              subj:15072012  Swiss wrestling                                                     Lutte suisse                       
               subj:15073000                 sports event                                                        Evènements sportifs                
                              subj:15073001  Summer Olympics                                                     JO d'été                           
                              subj:15073002  Winter Olympics                                                     JO d'hiver                         
                              subj:15073003  Summer universiade                                                  Universiade d'été                  
                              subj:15073004  Winter Universiade                                                  Universiade d'hiver                
                              subj:15073005  Commonwealth Games                                                  Jeux du Commonwealth               
                              subj:15073006  Winter Goodwill Games                                               Goodwill Games hiver               
                              subj:15073007  Summer Asian Games                                                  Jeux asiatiques d'été              
                              subj:15073008  Winter Asian Games                                                  Jeux asiatiques d'hiver            
                              subj:15073009  Panamerican Games                                                   Jeux panaméricains                 
                              subj:15073010  African Games                                                       Jeux africains                     
                              subj:15073011  Mediterranean Games                                                 Jeux méditerranéens                
                              subj:15073012  SouthEast Asiatic Games                                             Jeux du sud est asiatique          
                              subj:15073013  PanPacific Games                                                    Jeux Panpacifique                  
                              subj:15073014  SouthPacific Games                                                  Jeux du Pacifique sud              
                              subj:15073015  PanArabic Games                                                     Jeux panarabiques                  
                              subj:15073016  Summer Goodwill Games                                               Goodwill Games été                 
                              subj:15073017  World games                                                         Mondiaux                           
                              subj:15073018  World Cup                                                           Coupe du monde                     
                              subj:15073019  intercontinental cup                                                Coupe intercontinentale            
                              subj:15073020  continental cup                                                     Coupe continentale                 
                              subj:15073021  international cup                                                   Coupe internationale               
                              subj:15073022  National Cup                                                        Coupe nationale                    
                              subj:15073023  interregional cup                                                   Coupe interregionale               
                              subj:15073024  regional cup                                                        Coupe régionale                    
                              subj:15073025  league cup                                                          Coupe de Ligue                     
                              subj:15073026  world championship                                                  Championnat du Monde               
                              subj:15073027  intercontinental championship                                       Championnat intercontinental       
                              subj:15073028  continental championship 1st level                                  Championnat continental 1er niveau 
                              subj:15073029  continental championship 2nd level                                  Championnat continental 2ème niveau
                              subj:15073030  continental championship 3rd level                                  Championnat continental 3ème niveau
                              subj:15073031  national championship 1st level                                     Championnat national 1er niveau    
                              subj:15073032  national championship 2nd level                                     Championnat national 2eme niveau   
                              subj:15073033  national championship3rdlevel                                       Championnat national 3ème niveau   
                              subj:15073034  national championship 4th level                                     Championnat national 4ème niveau   
                              subj:15073035  regional championship                                               Championnat régional               
                              subj:15073036  Grand Prix                                                          Grand Prix                         
                              subj:15073037  intercontinental tournament                                         Tournoi intercontinental           
                              subj:15073038  continental tournament                                              Tournoi continental                
                              subj:15073039  international tournament                                            Tournoi international              
                              subj:15073040  national tournament                                                 Tournoi national                   
                              subj:15073041  inter-nations competition                                           Compétition internationale         
                              subj:15073042  inter-clubs competition                                             Compétition inter-clubs            
                              subj:15073043  friendly competition                                                Compétition amicale                
                              subj:15073044  all-stars competition                                               Compétition all-stars              
                              subj:15073045  exhibition                                                          Exhibition                         
                              subj:15073046  Super Bowl                                                          Super Bowl                         
                              subj:15073047  paralympic games                                                    Jeux paralympiques                 
               subj:15074000                 rodeo                                                               Rodéo                              
                              subj:15074001  barrel racing                                                       Barrel racing                      
                              subj:15074002  calf roping                                                         Calf roping                        
                              subj:15074003  bull riding                                                         Bull riding                        
                              subj:15074004  bulldogging                                                         Bulldogging                        
                              subj:15074005  saddle bronc                                                        Saddle bronc                       
                              subj:15074006  bareback                                                            Bareback                           
                              subj:15074007  goat roping                                                         Goat roping                        
               subj:15075000                 mini golf sport                                                     Mini golf sport                    
               subj:15076000                 bandy                                                               Bandy                              
               subj:15077000                 flying disc                                                         Frisbee                            
                              subj:15077001  ultimate                                                            Ultimate                           
                              subj:15077002  guts                                                                Guts                               
                              subj:15077003  overall                                                             Overall                            
                              subj:15077004  distance                                                            Distance                           
                              subj:15077005  discathon                                                           Discathon                          
                              subj:15077006  DDC                                                                 DDC                                
                              subj:15077007  SCF                                                                 SCF                                
                              subj:15077008  freestyle                                                           Freestyle                          
                              subj:15077009  accuracy                                                            Accuracy                           
                              subj:15077010  disc golf                                                           Disc golf                          
               subj:15078000                 floorball                                                           Floorball                          
               subj:15079000                 casting                                                             Casting                            
               subj:15080000                 tug-of-war                                                          Tug-of-war                         
               subj:15081000                 croquette                                                           Croquette                          
               subj:15082000                 dog racing                                                          Course de chiens                   
                              subj:15082001  sled                                                                Sled                               
                              subj:15082002  oval track                                                          Oval track                         
               subj:15083000                 skeleton                                                            Skeleton                           
               subj:15084000                 Australian rules football                                           Football australien                
               subj:15085000                 Canadian football                                                   Football canadien                  
               subj:15086000                 duathlon                                                            Duathlon                           
               subj:15087000                 hornuss                                                             Hornuss                            
               subj:15088000                 fist ball                                                           Fist ball                          
               subj:15089000                 inline skating                                                      Inline skating                     
               subj:15090000                 grass ski                                                           Grass ski                          
               subj:15091000                 snowbiking                                                          Snowbiking                         
               subj:15092000                 twirling                                                            Twirling                           
               subj:15093000                 kendo                                                               Kendo                              
               subj:15094000                 jukendo                                                             Jukendo                            
               subj:15095000                 naginata                                                            Naginata                           
               subj:15096000                 kyudo                                                               Kyudo                              
               subj:15097000                 kabaddi                                                             Kabaddi                            
               subj:15098000                 sepak takraw                                                        Sepak takraw                       
               subj:15099000                 wushu                                                               Wushu                              
               subj:15100000                 darts                                                               Fléchettes                         
               subj:15101000                 bodybuilding                                                        Bodybuilding                       
               subj:15102000                 sports disciplinary action                                          Action disciplinaire sportive      
               subj:15103000                 sports awards                                                       Récompenses sportives              
subj:16000000                                unrest, conflicts and war                                           Guerres et conflits                
               subj:16001000                 act of terror                                                       Actes de terrorisme                
               subj:16002000                 armed conflict                                                      Conflits armés                     
               subj:16003000                 civil unrest                                                        Désordres civils                   
                              subj:16003001  revolutions                                                         Révolutions                        
                              subj:16003002  rebellions                                                          Rébellions                         
                              subj:16003003  political dissent                                                   Dissidence                         
                              subj:16003004  religious conflict                                                  Conflit religieux                  
                              subj:16003005  social conflict                                                     Conflit social                     
               subj:16004000                 coup d'etat                                                         Coup d'état                        
               subj:16005000                 guerrilla activity                                                  Guérilla                           
                              subj:16005001  bioterrorism                                                        Bioterrorisme                      
                              subj:16005002  bombings                                                            Explosion de bombes                
